Statistics,COPE,COPE,VARCOPE,VARCOPE,z,z,p,p
Contrast,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM
conc_GABA_beta0,0.0022055727895349264,-0.0022055727895349264,3.736706958079594e-06,3.736706958079594e-06,1.072869896888733,-1.072869896888733,0.14166474712784427,0.8583352528721557
conc_GABA_beta1,-0.0010442737257108092,0.0010442737257108092,4.1358457565365825e-06,4.1358457565365825e-06,-0.4958847165107727,0.4958847165107727,0.6900121251148552,0.3099878748851448
conc_GABA_beta2,0.004534671548753977,-0.004534671548753977,5.410204721556511e-06,5.410204721556511e-06,1.7334036827087402,-1.7334036827087402,0.04151197174646333,0.9584880282535366
conc_GABA_beta3,-4.330841693445109e-05,4.330841693445109e-05,1.7507387383375317e-05,1.7507387383375317e-05,-0.010067487135529518,0.010067487135529518,0.5040162784311326,0.49598372156886733
conc_GPC_beta0,0.000183555981493555,-0.000183555981493555,3.2191780974244466e-07,3.2191780974244466e-07,0.31377074122428894,-0.31377074122428894,0.3768475840236326,0.6231524159763674
conc_GPC_beta1,0.0006969069363549352,-0.0006969069363549352,5.041983399678429e-07,5.041983399678429e-07,0.9306978583335876,-0.9306978583335876,0.17600493892584096,0.8239950610741591
conc_GPC_beta2,-0.0017495976062491536,0.0017495976062491536,1.9859908206854016e-06,1.9859908206854016e-06,-1.1606135368347168,1.1606135368347168,0.8771004510512601,0.12289954894873983
conc_GPC_beta3,-0.0011100559495389462,0.0011100559495389462,2.489850317033415e-07,2.489850317033415e-07,-1.9336141347885132,1.9336141347885132,0.9734197059656272,0.026580294034372818
conc_GSH_beta0,0.00042695755837485194,-0.00042695755837485194,3.2117443993229244e-07,3.2117443993229244e-07,0.7217150330543518,-0.7217150330543518,0.2352348487942753,0.7647651512057247
conc_GSH_beta1,-0.000731275009457022,0.000731275009457022,5.369793143472634e-07,5.369793143472634e-07,-0.9455385804176331,0.9455385804176331,0.8278080080089985,0.1721919919910016
conc_GSH_beta2,0.0006921888561919332,-0.0006921888561919332,9.409154699824285e-07,9.409154699824285e-07,0.6846446990966797,-0.6846446990966797,0.24678407666960944,0.7532159233303906
conc_GSH_beta3,-0.002049325965344906,0.002049325965344906,9.335338972960017e-07,9.335338972960017e-07,-1.859667420387268,1.859667420387268,0.9685337029286996,0.031466297071300484
conc_Glc_beta0,-0.005504954606294632,0.005504954606294632,1.5277339571184712e-06,1.5277339571184712e-06,-3.15746808052063,3.15746808052063,0.9992042717056914,0.0007957282943086078
conc_Glc_beta1,-0.004107349552214146,0.004107349552214146,2.006545628319145e-06,2.006545628319145e-06,-2.3737802505493164,2.3737802505493164,0.9911964871089185,0.008803512891081446
conc_Glc_beta2,0.00312882661819458,-0.00312882661819458,5.5505274758616e-06,5.5505274758616e-06,1.2349351644515991,-1.2349351644515991,0.10842731748415468,0.8915726825158453
conc_Glc_beta3,0.004335626494139433,-0.004335626494139433,1.3397926522884518e-05,1.3397926522884518e-05,1.1110342741012573,-1.1110342741012573,0.13327679835357825,0.8667232016464217
conc_Gln_beta0,-0.00032292449031956494,0.00032292449031956494,2.2175611320562894e-06,2.2175611320562894e-06,-0.21065092086791992,0.21065092086791992,0.5834201626857513,0.41657983731424875
conc_Gln_beta1,0.003098349552601576,-0.003098349552601576,2.8584188385138987e-06,2.8584188385138987e-06,1.6444579362869263,-1.6444579362869263,0.05004082309249305,0.949959176907507
conc_Gln_beta2,-0.004226624500006437,0.004226624500006437,9.813276847125962e-06,9.813276847125962e-06,-1.2529512643814087,1.2529512643814087,0.8948882782227912,0.10511172177720884
conc_Gln_beta3,-0.003831193083897233,0.003831193083897233,2.296653838129714e-05,2.296653838129714e-05,-0.7644134163856506,0.7644134163856506,0.7776895419615124,0.22231045803848754
conc_Glu_beta0,0.006484759505838156,-0.006484759505838156,2.0311504158598837e-06,2.0311504158598837e-06,3.197613000869751,-3.197613000869751,0.0006928505387466837,0.9993071494612533
conc_Glu_beta1,0.00448696268722415,-0.00448696268722415,3.019909854629077e-06,3.019909854629077e-06,2.175407886505127,-2.175407886505127,0.014799782018646953,0.985200217981353
conc_Glu_beta2,-0.0007223380380310118,0.0007223380380310118,2.045775363512803e-05,2.045775363512803e-05,-0.15522722899913788,0.15522722899913788,0.5616789085904375,0.4383210914095625
conc_Glu_beta3,0.0021052290685474873,-0.0021052290685474873,1.2723774489131756e-05,1.2723774489131756e-05,0.5686648488044739,-0.5686648488044739,0.28479180347947575,0.7152081965205243
conc_Ins_beta0,0.00019165164849255234,-0.00019165164849255234,3.9013633568174555e-07,3.9013633568174555e-07,0.2976769506931305,-0.2976769506931305,0.3829748685130653,0.6170251314869347
conc_Ins_beta1,-0.0007979043293744326,0.0007979043293744326,6.943023436178919e-07,6.943023436178919e-07,-0.9091182947158813,0.9091182947158813,0.8183561567018555,0.18164384329814454
conc_Ins_beta2,0.002120800781995058,-0.002120800781995058,3.650256758191972e-06,3.650256758191972e-06,1.0455718040466309,-1.0455718040466309,0.14787938643837661,0.8521206135616234
conc_Ins_beta3,-0.0061401622369885445,0.0061401622369885445,7.160200038924813e-05,7.160200038924813e-05,-0.6958819031715393,0.6958819031715393,0.7567486043048091,0.24325139569519094
conc_Lac_beta0,0.006202712655067444,-0.006202712655067444,2.337132855245727e-06,2.337132855245727e-06,2.9831080436706543,-2.9831080436706543,0.0014266862385512154,0.9985733137614488
conc_Lac_beta1,0.003398408181965351,-0.003398408181965351,1.0918304269580403e-06,1.0918304269580403e-06,2.5772225856781006,-2.5772225856781006,0.004979889613195662,0.9950201103868044
conc_Lac_beta2,-0.0011718604946509004,0.0011718604946509004,1.26061297578417e-06,1.26061297578417e-06,-0.9866042137145996,0.9866042137145996,0.8380816481353877,0.1619183518646124
conc_Lac_beta3,-0.002312089316546917,0.002312089316546917,7.526742592744995e-06,7.526742592744995e-06,-0.8043461441993713,0.8043461441993713,0.7894014524695039,0.21059854753049606
conc_Mac_beta0,-2.945022060885094e-05,2.945022060885094e-05,6.630965110332454e-09,6.630965110332454e-09,-0.3505159020423889,0.3505159020423889,0.6370242209518349,0.36297577904816514
conc_Mac_beta1,9.427848272025585e-05,-9.427848272025585e-05,1.196399246339297e-08,1.196399246339297e-08,0.8219591975212097,-0.8219591975212097,0.20555005975618906,0.794449940243811
conc_Mac_beta2,-0.00034298814716748893,0.00034298814716748893,2.1808183703342365e-08,2.1808183703342365e-08,-2.00190806388855,2.00190806388855,0.9773526898874694,0.02264731011253063
conc_Mac_beta3,-0.0002689017273951322,0.0002689017273951322,5.8368971878053344e-08,5.8368971878053344e-08,-1.0482072830200195,1.0482072830200195,0.8527284421130598,0.14727155788694024
conc_NAA_beta0,-0.00029361117049120367,0.00029361117049120367,2.673261860763887e-07,2.673261860763887e-07,-0.547540545463562,0.547540545463562,0.7079962885148987,0.2920037114851013
conc_NAA_beta1,0.000809812918305397,-0.000809812918305397,4.988984869669366e-07,4.988984869669366e-07,1.0777393579483032,-1.0777393579483032,0.14057504447234342,0.8594249555276565
conc_NAA_beta2,-0.00026617830735631287,0.00026617830735631287,1.4371343240782153e-05,1.4371343240782153e-05,-0.06828507781028748,0.06828507781028748,0.5272206487083376,0.4727793512916623
